Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-09-24,GOOG,164.25,164.55,162.03,163.64,18546056.0,163.5991,159576
2024-09-25,GOOG,162.97,164.217,162.775,162.99,13607892.0,163.2384,171678
2024-09-26,GOOG,165.03,165.5,163.5,163.83,18234497.0,164.1604,219657
2024-09-27,GOOG,163.91,166.97,163.83,165.29,13604261.0,165.4934,207605
2024-09-30,GOOG,164.78,167.36,164.64,167.19,14083451.0,166.2657,187826
2024-10-01,GOOG,168.86,170.44,165.9,168.42,18629506.0,168.0798,268616
2024-10-02,GOOG,167.76,168.88,166.25,167.31,12744975.0,167.1377,184891
2024-10-03,GOOG,165.82,167.91,165.37,167.21,11004333.0,166.9647,165784
2024-10-04,GOOG,169.34,169.55,166.96,168.56,11435318.0,168.1376,183968
2024-10-07,GOOG,169.14,169.9,164.13,164.39,14034722.0,165.9366,197526
2024-10-08,GOOG,165.43,166.1,164.31,165.7,11723885.0,165.28,174365
2024-10-09,GOOG,164.855,166.26,161.12,163.06,19651411.0,162.8667,303538
2024-10-10,GOOG,162.11,164.3107,161.64,163.18,12892892.0,163.2665,189627
2024-10-11,GOOG,163.33,165.27,162.5,164.52,10945971.0,164.4378,178371
2024-10-14,GOOG,164.91,167.62,164.78,166.35,9981765.0,166.354,158711
2024-10-15,GOOG,167.14,169.09,166.05,166.9,14829338.0,167.1532,217711
2024-10-16,GOOG,166.03,167.28,165.216,166.74,9968474.0,166.3889,159499
2024-10-17,GOOG,167.38,167.93,164.37,164.51,15113356.0,165.325,211526
2024-10-18,GOOG,164.87,166.3699,164.75,165.05,13091267.0,165.2717,151587
2024-10-21,GOOG,164.58,166.22,164.305,165.8,11384047.0,165.5428,153911
2024-10-22,GOOG,164.7,167.47,164.67,166.82,11958617.0,166.5607,148118
2024-10-23,GOOG,166.43,167.6,163.6325,164.48,12754283.0,164.8573,177401
2024-10-24,GOOG,164.59,165.05,162.77,164.53,12764430.0,164.3165,174450
2024-10-25,GOOG,165.365,167.4,165.23,166.99,14566410.0,166.772,178351
2024-10-28,GOOG,170.59,170.606,165.79,168.34,20858254.0,168.5376,282564
2024-10-29,GOOG,169.385,171.86,168.66,171.14,28916106.0,172.3652,402805
2024-10-30,GOOG,182.41,183.79,175.7451,176.14,49698313.0,180.1395,644883
2024-10-31,GOOG,174.72,178.42,172.56,172.69,32801898.0,174.6586,424625
2024-11-01,GOOG,171.54,173.82,170.31,172.65,21752859.0,172.689,273120
2024-11-04,GOOG,171.24,171.92,169.485,170.68,16193994.0,170.6954,209361
2024-11-05,GOOG,170.83,172.0973,170.37,171.41,12518282.0,171.3328,166209
2024-11-06,GOOG,175.35,178.64,175.04,178.33,27061510.0,177.467,341546
2024-11-07,GOOG,179.11,182.58,178.89,182.28,16730407.0,181.1792,249075
2024-11-08,GOOG,182.0,182.35,179.57,179.86,15021549.0,180.3329,204071
2024-11-11,GOOG,180.07,182.085,179.99,181.97,12503422.0,181.4555,167467
2024-11-12,GOOG,181.38,184.025,180.99,183.32,14065845.0,182.7209,205257
2024-11-13,GOOG,182.15,182.615,180.12,180.49,13969709.0,180.9308,208820
2024-11-14,GOOG,179.75,180.445,176.03,177.35,17925763.0,177.4428,239083
2024-11-15,GOOG,175.64,175.88,172.745,173.89,21708870.0,174.0273,262323
2024-11-18,GOOG,174.955,176.91,174.42,176.8,18725422.0,176.266,184277
2024-11-19,GOOG,175.235,180.17,175.116,179.58,15392866.0,178.6248,195944
2024-11-20,GOOG,178.83,179.11,175.33,177.33,15729806.0,176.9258,191121
2024-11-21,GOOG,175.455,175.58,165.31,169.24,38839431.0,168.3018,531715
2024-11-22,GOOG,167.16,168.2645,165.71,166.57,24497042.0,166.8541,321787
